paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
1988,Alloy454 20,760,758,71,30.789,28.894,0.5,0.36321,63.407,19.237,-0.208,0.439173,0.948284617
1988,Alloy454 21,760,758,36,39.423,29.142,0.5,0.36321,63.407,19.237,-0.208,0.394468,0.951980896
1988,Alloy454 22,760,758,30,46.568,21.545,0.5,0.36321,63.407,19.237,-0.208,0.408375,0.943378023
1988,Alloy454 23,760,758,27,53.7,34.211,0.5,0.36321,63.407,19.237,-0.208,0.286182,0.987427581
1988,CMSX2 19,760,750,412,0,45,0.23,0.36244,64.959,31.316,-0.375,0.408248,1
1988,CMSX2 20,760,750,230,3.424,41.868,0.23,0.36244,64.959,31.316,-0.375,0.429478,0.997550515
1988,CMSX2 21,760,750,1203,50.821,32.612,0.23,0.36244,64.959,31.316,-0.375,0.312267,0.948089295
1988,CMSX2 22,760,750,1012,52.396,31.741,0.23,0.36244,64.959,31.316,-0.375,0.3139,0.984415419
1988,CMSX2 23,760,750,459,52.869,32.116,0.3,0.36244,64.959,31.316,-0.375,0.308759,0.991650446
1988,CMSX2 24,760,750,518,48.632,30.288,0.3,0.36244,64.959,31.316,-0.375,0.341913,0.913282034
1988,CMSX2 25,760,750,347,48.487,28.195,0.3,0.36244,64.959,31.316,-0.375,0.359182,0.930057742
1988,CMSX2 26,760,750,15,41.427,19.92,0.3,0.36244,64.959,31.316,-0.375,0.440966,0.840912905
1988,CMSX2 27,760,750,50,48.361,20.755,0.3,0.36244,64.959,31.316,-0.375,0.402644,0.993686731
1988,CMSX2 28,760,750,4,40.357,11.106,0.3,0.36244,64.959,31.316,-0.375,0.462962,0.853229855
1988,CMSX2 29,760,750,19,29.956,22.14,0.3,0.36244,64.959,31.316,-0.375,0.483392,0.828151893
1988,CMSX2 30,760,750,343,11.118,35.836,0.3,0.36244,64.959,31.316,-0.375,0.461945,0.970977064
1988,CMSX2 31,760,750,430,9.904,35.24,0.3,0.36244,64.959,31.316,-0.375,0.466069,0.992123484
1988,CMSX2 32,760,750,569,2.872,42.532,0.3,0.36244,64.959,31.316,-0.375,0.425103,0.997911094
1988,CMSX2 33,760,750,780,13.149,31.852,0.3,0.36244,64.959,31.316,-0.375,0.477775,0.999053948
1988,CMSX2 34,760,750,3.5,38.379,6.622,0.3,0.36244,64.959,31.316,-0.375,0.450053,0.997882472
1988,CMSX2 35,760,750,3,44.087,4.11,0.3,0.36244,64.959,31.316,-0.375,0.431255,0.966996325
1988,CMSX2 36,760,750,1138,1.988,43.177,0.45,0.36244,64.959,31.316,-0.375,0.420877,0.999156523
1988,CMSX2 37,760,750,759,5.813,40.111,0.45,0.36244,64.959,31.316,-0.375,0.440021,0.99158222
1988,CMSX2 38,760,750,664,14.188,30.837,0.45,0.36244,64.959,31.316,-0.375,0.481789,0.994835914
1988,CMSX2 39,760,750,550,13.324,34.054,0.45,0.36244,64.959,31.316,-0.375,0.469364,0.959613434
1988,CMSX2 40,760,750,484,22.873,29.201,0.45,0.36244,64.959,31.316,-0.375,0.472135,0.895102036
1988,CMSX2 41,760,750,30,34.882,13.344,0.45,0.36244,64.959,31.316,-0.375,0.48403,0.873354957
1988,CMSX2 42,760,750,8,36.585,19.141,0.45,0.36244,64.959,31.316,-0.375,0.466967,0.751496358
1988,CMSX2 43,760,750,8,38.673,25.935,0.45,0.36244,64.959,31.316,-0.375,0.421864,0.832088066
1988,CMSX2 44,760,750,23,46.866,27.164,0.45,0.36244,64.959,31.316,-0.375,0.374081,0.903691981
1988,CMSX2 45,760,750,33,48.67,28.517,0.45,0.36244,64.959,31.316,-0.375,0.355935,0.931116636
1988,CMSX2 46,760,750,32,50.374,28.274,0.45,0.36244,64.959,31.316,-0.375,0.350272,0.972941029
1988,CMSX2 47,760,750,28,51.3,30.244,0.45,0.36244,64.959,31.316,-0.375,0.331,0.974513595
1988,CMSX2 48,760,750,36,53.108,32.54,0.45,0.36244,64.959,31.316,-0.375,0.304046,0.992609671
