paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,
1988,MXON 3,850,500,327,3.075,42.08,0.2,0.36314,62.087,28.574,-0.513,0.42813,0.99840469,2.514547753,1123.15,0.890353025,2.698970004,0.998560172,0.742209819,214.065,2.330545665,
1988,MXON 5,850,500,1396,51.082,31.713,0.2,0.36314,62.087,28.574,-0.513,0.319361,0.953704429,3.144885418,1123.15,0.890353025,2.698970004,0.628207519,0.850691862,159.6805,2.203251884,
1988,MXON 6,850,500,900,52.529,33.441,0.2,0.36314,62.087,28.574,-0.513,0.29787,0.968395609,2.954242509,1123.15,0.890353025,2.698970004,0.608359799,0.834453734,148.935,2.17299677,
1988,MXON 7,850,500,390,1.58,44.473,0.36,0.36314,62.087,28.574,-0.513,0.418559,0.999519781,2.591064607,1123.15,0.890353025,2.698970004,0.999619801,0.713580666,209.2795,2.320726689,
1988,MXON 8,850,500,382,1.217,43.811,0.36,0.36314,62.087,28.574,-0.513,0.416568,0.999817557,2.582063363,1123.15,0.890353025,2.698970004,0.999774426,0.721627333,208.284,2.31865591,
1988,MXON 9,850,500,459,2.37,43.155,0.36,0.36314,62.087,28.574,-0.513,0.420893,0.998389139,2.661812686,1123.15,0.890353025,2.698970004,0.999144619,0.729506045,210.4465,2.323141707,
1988,MXON 10,850,500,369,4.449,41.611,0.36,0.36314,62.087,28.574,-0.513,0.430599,0.994424047,2.567026366,1123.15,0.890353025,2.698970004,0.996986777,0.747670612,215.2995,2.333043021,
1988,MXON 11,850,500,411,5.151,39.991,0.36,0.36314,62.087,28.574,-0.513,0.441099,0.996762632,2.613841822,1123.15,0.890353025,2.698970004,0.995961544,0.766145403,220.5495,2.343506078,
1988,MXON 12,850,500,65,37.288,19.599,0.36,0.36314,62.087,28.574,-0.513,0.462058,0.759512875,1.812913357,1123.15,0.890353025,2.698970004,0.795600381,0.942063307,231.029,2.363666498,
1988,MXON 13,850,500,26,47.001,17.634,0.36,0.36314,62.087,28.574,-0.513,0.420111,0.983537684,1.414973348,1123.15,0.890353025,2.698970004,0.681985595,0.95301107,210.0555,2.322334057,
1988,MXON 14,850,500,144,49.203,24.168,0.36,0.36314,62.087,28.574,-0.513,0.382196,0.984466085,2.158362492,1123.15,0.890353025,2.698970004,0.653380967,0.912348918,191.098,2.281256142,
1988,MXON 15,850,500,119,51.563,31.566,0.36,0.36314,62.087,28.574,-0.513,0.318725,0.966497765,2.075546961,1123.15,0.890353025,2.698970004,0.621653738,0.852037724,159.3625,2.202386134,
1988,MXON 16,850,500,166,53.295,33.698,0.36,0.36314,62.087,28.574,-0.513,0.292585,0.983683374,2.220108088,1123.15,0.890353025,2.698970004,0.597695113,0.831973489,146.2925,2.165222062,
1988,Alloy454 10,760,758,218,1.553,43.687,0.5,0.36321,63.407,19.237,-0.208,0.417393,0.999355523,2.338456494,1033.15,0.967913662,2.879669206,0.999632683,0.723123884,316.383894,2.500214367,
1988,Alloy454 11,760,758,363,3.585,41.56,0.5,0.36321,63.407,19.237,-0.208,0.431464,0.998057775,2.559906625,1033.15,0.967913662,2.879669206,0.998043133,0.748261416,327.049712,2.514613771,
1988,Alloy454 12,760,758,398,11.08,36.865,0.5,0.36321,63.407,19.237,-0.208,0.454772,0.96765632,2.599883072,1033.15,0.967913662,2.879669206,0.981359807,0.800051285,344.717176,2.537462923,
1988,Alloy454 13,760,758,350,18.057,33.885,0.5,0.36321,63.407,19.237,-0.208,0.456412,0.989726388,2.544068044,1033.15,0.967913662,2.879669206,0.950748624,0.830158274,345.960296,2.53902626,
1988,Alloy454 15,760,758,377,15.665,30.033,0.5,0.36321,63.407,19.237,-0.208,0.486605,0.97045653,2.57634135,1033.15,0.967913662,2.879669206,0.962856867,0.865737281,368.84659,2.566845773,
1988,Alloy454 16,760,758,323,26.887,18.324,0.5,0.36321,63.407,19.237,-0.208,0.495281,0.971519198,2.509202522,1033.15,0.967913662,2.879669206,0.891900161,0.94929387,375.422998,2.574520874,
1988,Alloy454 17,760,758,25,36.925,10.608,0.5,0.36321,63.407,19.237,-0.208,0.475235,0.888425726,1.397940009,1033.15,0.967913662,2.879669206,0.7994226,0.982909655,360.22813,2.556577624,
1988,Alloy454 18,760,758,19,37.444,19.919,0.5,0.36321,63.407,19.237,-0.208,0.460089,0.761187509,1.278753601,1033.15,0.967913662,2.879669206,0.793947955,0.940175201,348.747462,2.542511056,
