global_index,fold,paper_id,spec_no,orientation_zone,y_true_log10h,y_pred_log10h,Inv_T_K_value_scaled,Inv_T_K_shap,Gamma_prime_size_value_scaled,Gamma_prime_size_shap,L_value_scaled,L_shap,G_value_scaled,G_shap,SFE_value_scaled,SFE_shap,Misfit_value_scaled,Misfit_shap,cos_001_value_scaled,cos_001_shap,cos_011_value_scaled,cos_011_shap,MultislipPropensity_110_value_scaled,MultislipPropensity_110_shap,Log_RSS_110_value_scaled,Log_RSS_110_shap,stress_MPa_value_scaled,stress_MPa_shap,T_C_value_scaled,T_C_shap
1,0,1988,CMSX2 2,near_001,2.670245885848999,2.732572555541992,-1.593956708908081,-4.832592346857318,-1.2422963380813599,-0.01948113315373107,1.3763453960418701,0.4990363055855913,-1.5982564687728882,0.42987368868660036,1.867343783378601,1.210153100158075,1.038689374923706,-0.5447012632333229,1.1646430492401123,0.5411420202602101,-1.213366985321045,-0.1918399878293475,0.6310831308364868,0.02723773657492778,-1.7565563917160034,2.1141032138161835,-1.6169753074645996,1.2946312995653955,1.634974718093872,0.06474216325300475
9,0,1988,CMSX2 10,interior,2.5403294563293457,2.6084136962890625,-1.593956708908081,-4.850873538412361,0.5146951675415039,0.01072889762306537,1.3763453960418701,0.4299786890220453,-1.5982564687728882,0.4009176724904857,1.867343783378601,1.1731554252455152,1.038689374923706,-0.48160135356891004,1.0400632619857788,0.6010480468859991,-0.23570939898490906,-0.10874834532939129,0.5422621965408325,0.006636876869466085,-1.618475317955017,1.9675456446410746,-1.6169753074645996,1.2932189321777998,1.634974718093872,0.06512188081415463
11,0,1988,CMSX2 12,interior,2.1818435192108154,2.427145004272461,-1.593956708908081,-4.247501982548044,0.5146951675415039,0.015045237370755115,1.3763453960418701,0.26215630249565613,-1.5982564687728882,0.318809430786887,1.867343783378601,0.7432067898248162,1.038689374923706,-0.28894093094625733,-0.00653824582695961,-0.24609116860314026,1.2406768798828125,0.3732500375732176,-1.7334794998168945,-0.049502777174856114,-1.5950779914855957,2.0130412616488877,-1.6169753074645996,1.2677438825318281,1.634974718093872,0.06139296592062562
12,0,1988,CMSX2 13,interior,2.311753749847412,2.362018585205078,-1.593956708908081,-3.7445487861863183,0.5146951675415039,0.006333567622498264,1.3763453960418701,0.31959030045058684,-1.5982564687728882,0.3684802865965121,1.867343783378601,0.6532009910245968,1.038689374923706,-0.25886248408914253,-0.12042248249053955,-0.30230792063305406,0.9309704303741455,0.21986774270385726,-3.735752582550049,-0.1047103713559817,-1.647667646408081,2.0002569661619125,-1.6169753074645996,1.1346398491929912,1.634974718093872,0.06429626072318956
15,0,1988,CMSX2 16,near_111,2.717670440673828,2.587984085083008,-1.593956708908081,-4.382214662092917,0.5146951675415039,-0.011286331696645288,1.3763453960418701,0.38884463774693323,-1.5982564687728882,0.3888146464541593,1.867343783378601,0.6954523882320552,1.038689374923706,-0.2683485299806361,-1.3078052997589111,-0.5487338674941664,0.07917772233486176,0.016712057158240222,0.6800848841667175,0.04395882656286745,-2.1338491439819336,2.8443170763609866,-1.6169753074645996,1.3108984384308693,1.634974718093872,0.06633048255651164
29,0,1988,MXON 3,near_001,2.514547824859619,2.438173294067383,-0.02710333839058876,-0.296127944339619,-2.4136240482330322,-0.21082392957527937,-0.2336682826280594,0.03978814551083204,0.0048679932951927185,0.19998454789768483,-0.3739795386791229,-0.12499781791413983,-0.38923871517181396,0.14340130230099926,1.1699546575546265,0.5375854602455148,-1.2614799737930298,-0.06926689596296466,0.6700553297996521,0.02818503763515566,0.2518123984336853,-0.087885965151083,-0.12667548656463623,0.1612123251873311,-0.07105094939470291,0.045133190219694745
48,0,1988,Alloy454 17,interior,1.3979400396347046,1.5048847198486328,0.8758942484855652,2.317967995408662,1.1003589630126953,0.4298130086201685,-0.1640997976064682,0.04613730447854219,0.3623214364051819,-0.05062269643080693,-1.9048672914505005,-0.6587044371605916,1.1229767799377441,-0.13372018729169616,-0.11015912890434265,-0.3022642709262664,1.340018630027771,0.23933643152369924,-1.3412014245986938,-0.12415185944448252,0.9870264530181885,-1.487086149648593,0.8851596117019653,-0.780038542914779,-0.8387624621391296,-0.0676789551870571
55,0,1988,CMSX2 21,near_111,3.080265522003174,3.251293182373047,0.8758942484855652,2.359072051965597,-2.062225580215454,0.520354535461516,-0.9293531775474548,-0.18268593131987018,0.7826000452041626,-0.0680181714542768,0.07559680193662643,0.11194798027201616,0.2949768006801605,-0.08647749895004488,-1.1880377531051636,-0.327755116718021,-0.1792718768119812,0.18454656761507934,-0.250095009803772,-0.005081676142438319,0.3788032829761505,-0.5465393535190688,0.8537849187850952,-0.7435663204118899,-0.8387624621391296,-0.06774575980063012
84,0,1988,CMSX2 50,interior,1.1760913133621216,1.0007190704345703,0.8758942484855652,2.3947303788586614,0.5146951675415039,0.055015146817088745,-0.9293531775474548,-0.290236881411017,0.7826000452041626,-0.2706760605651199,0.07559680193662643,0.15586991373323056,0.2949768006801605,-0.05115889823266369,-0.5310028791427612,-0.7536357231126357,1.4053168296813965,0.1389086086948257,-0.7514844536781311,-0.12573216096864503,0.8919363021850586,-1.448115133761486,0.8537849187850952,-0.7687413010866296,-0.8387624621391296,-0.06158099241655144
98,0,mackay,M,interior,1.724275827407837,1.6030559539794922,0.7252331972122192,1.8872383238798511,-1.2422963380813599,-0.29315033957844094,-0.9989216923713684,-0.45167867995473115,0.9169158339500427,-0.42252299873804233,-0.3564358949661255,-0.07776057759537187,0.21068938076496124,-0.12942777409603543,1.0715680122375488,0.786978528095436,-0.429883748292923,-0.08413441174876357,0.41868340969085693,0.044672522909959975,0.8992524147033691,-1.022833500755646,0.7518170475959778,-0.5591880777219197,-0.7193406820297241,-0.03835705873860221
99,0,mackay,N,near_001,1.724275827407837,1.730184555053711,0.7252331972122192,2.079533200714756,-1.2422963380813599,-0.15753524659006676,-0.9989216923713684,-0.42854394957109415,0.9169158339500427,-0.378407793485456,-0.3564358949661255,-0.14156264823368706,0.21068938076496124,-0.16626054662838624,1.14961576461792,0.6121182464435588,-1.1263818740844727,-0.12574378463539346,0.5424593687057495,0.04302713674525013,0.7938084006309509,-0.9730137709177906,0.7518170475959778,-0.6157976072332151,-0.7193406820297241,-0.04058549332658359
116,0,Gunturi et al.,CMSX-04 -10,near_011,0.6989700198173523,0.5676364898681641,0.9860336184501648,2.3314223365892834,0.5146951675415039,0.07985044180913588,-0.5616340041160583,-0.10381995857278147,0.8294481039047241,-0.3007594649116468,-1.3516687154769897,-0.770911307786003,-1.7527117729187012,0.1251832163724832,-0.4197356700897217,-0.5967076219497386,1.4922527074813843,-0.5065239787355984,-0.22101417183876038,-0.02847977798884295,0.8147697448730469,-1.2359431055324785,0.736129641532898,-0.6675354426498236,-0.9240637421607971,-0.084473396755462
123,0,G.M. Han et al.,F,interior,2.575187921524048,2.4565563201904297,0.8758942484855652,2.541285227663487,0.5146951675415039,0.028244022782130774,-0.9293531775474548,-0.34708556982653266,0.9515780210494995,-0.3894108086052608,-0.5189195275306702,-0.2847564823256732,-0.8602566719055176,0.350485107246351,0.8509246110916138,0.8857902727062344,-0.05613483488559723,-0.057902001362318274,-0.7755894064903259,-0.04476000273080208,1.0401341915130615,-1.4809531218535696,1.0106585025787354,-0.8491002038454849,-0.8387624621391296,-0.06363723977574492
136,0,G.M. Han et al.,D,interior,2.1105897426605225,2.1230297088623047,-1.5269495248794556,-4.171781064842343,0.5146951675415039,0.017305280975663487,1.237208366394043,0.3788602551438685,-1.400844693183899,0.41642635347386786,1.576807975769043,0.8766012051997621,0.9048210978507996,-0.3280766273059579,0.7834382057189941,0.4824701477019458,0.01664525642991066,-0.06030099799299588,-0.9626398086547852,-0.010513379395150442,-1.1753753423690796,1.455522080777725,-1.4404923915863037,1.0947856769857762,1.5496734380722046,0.07524137900178118
