feature,mean_abs_shap
Inv_T_K,2.491918584344403
Log_RSS_110,1.0652447737456412
stress_MPa,0.9273401019633664
cos_001,0.4984734276655614
L,0.31842921117951517
SFE,0.3133187779175505
G,0.3036293599106008
Misfit,0.21936110122158511
cos_011,0.13290561488782682
Gamma_prime_size,0.10208182362879693
T_C,0.08913883155754918
MultislipPropensity_110,0.04653333075412008
