paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,Unnamed: 22,orientation_zone,cv_fold
1988,CMSX2 1,1050.0,120.0,705.0,1.43,43.752,0.3,0.36476,56.167,42.244,-0.225,0.416961,0.999484364,2.848189116991399,1323.15,0.7557722102558289,2.0791812460476247,0.9996885600862851,0.7223398232603833,50.035320000000006,1.6992766816523555,,near_001,1
1988,CMSX2 2,1050.0,120.0,468.0,3.858,41.698,0.3,0.36476,56.167,42.244,-0.225,0.430445,0.996273624,2.670245853074124,1323.15,0.7557722102558289,2.0791812460476247,0.9977338685928386,0.7466614027504546,51.653400000000005,1.7130989135156585,,near_001,3
1988,CMSX2 3,1050.0,120.0,327.0,16.09,29.424,0.3,0.36476,56.167,42.244,-0.225,0.488234,0.973621255,2.514547752660286,1323.15,0.7557722102558289,2.0791812460476247,0.9608275400614866,0.8710081054113121,58.58808,1.767809265901899,,interior,6
1988,CMSX2 4,1050.0,120.0,536.0,38.83,6.17,0.3,0.36476,56.167,42.244,-0.225,0.447156,1.0,2.72916478969277,1323.15,0.7557722102558289,2.0791812460476247,0.7790097691280882,0.994207376024082,53.65872,1.7296403085974354,,interior,9
1988,CMSX2 5,1050.0,120.0,191.0,41.982,20.176,0.3,0.36476,56.167,42.244,-0.225,0.437188,0.851054924,2.2810333672477277,1323.15,0.7557722102558289,2.0791812460476247,0.7433550023809324,0.938637578592876,52.46256,1.7198494789105927,,interior,7
1988,CMSX2 6,1050.0,120.0,286.0,47.064,20.343,0.3,0.36476,56.167,42.244,-0.225,0.410947,0.964630475,2.456366033129043,1323.15,0.7557722102558289,2.0791812460476247,0.6811810048375779,0.9376282982244536,49.31364,1.6929670604011342,,interior,5
1988,CMSX2 7,1050.0,120.0,474.0,51.269,29.881,0.3,0.36476,56.167,42.244,-0.225,0.334074,0.977642678,2.6757783416740852,1323.15,0.7557722102558289,2.0791812460476247,0.6256648182850825,0.8670620060620555,40.088879999999996,1.6030239231346746,,near_111,4
1988,CMSX2 8,1050.0,120.0,682.0,52.168,32.413,0.3,0.36476,56.167,42.244,-0.225,0.308791,0.971443468,2.833784374656479,1323.15,0.7557722102558289,2.0791812460476247,0.6133482638486748,0.844206328526606,37.054919999999996,1.5688458799804386,,near_111,2
1988,CMSX2 9,1050.0,120.0,1055.0,1.635,43.605,0.45,0.36476,56.167,42.244,-0.225,0.417954,0.999298966,3.0232524596337114,1323.15,0.7557722102558289,2.0791812460476247,0.9995928721775056,0.7241116780219804,50.15448,1.7003097320200495,,near_001,4
1988,CMSX2 10,1050.0,120.0,347.0,11.943,33.163,0.45,0.36476,56.167,42.244,-0.225,0.474645,0.991416743,2.5403294747908736,1323.15,0.7557722102558289,2.0791812460476247,0.9783539550452257,0.8371177398613151,56.9574,1.7555501563411469,,interior,0
1988,CMSX2 11,1050.0,120.0,505.0,14.94,31.252,0.45,0.36476,56.167,42.244,-0.225,0.482413,0.964387361,2.7032913781186614,1323.15,0.7557722102558289,2.0791812460476247,0.9661963312817148,0.8548937615492558,57.889559999999996,1.762600248646122,,interior,6
1988,CMSX2 12,1050.0,120.0,152.0,35.359,13.165,0.45,0.36476,56.167,42.244,-0.225,0.482572,0.866975291,2.1818435879447726,1323.15,0.7557722102558289,2.0791812460476247,0.8155421119090891,0.9737182128245837,57.90864,1.7627433655303173,,interior,5
1988,CMSX2 13,1050.0,120.0,205.0,37.077,19.08,0.45,0.36476,56.167,42.244,-0.225,0.464937,0.757487574,2.311753861055754,1323.15,0.7557722102558289,2.0791812460476247,0.7978260077619372,0.9450630751798048,55.79244,1.746575355053742,,interior,0
1988,CMSX2 14,1050.0,120.0,258.0,47.965,22.904,0.45,0.36476,56.167,42.244,-0.225,0.394915,0.965541952,2.41161970596323,1323.15,0.7557722102558289,2.0791812460476247,0.669584442826296,0.9211582373443571,47.3898,1.6756848758426874,,interior,7
1988,CMSX2 15,1050.0,120.0,382.0,45.578,26.865,0.45,0.36476,56.167,42.244,-0.225,0.382192,0.878809604,2.582063362911709,1323.15,0.7557722102558289,2.0791812460476247,0.6999376267441046,0.8920737398345527,45.86304,1.6614628382584624,,interior,8
