MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,fold,n_val
0.151261192296624,0.18843224740061879,0.9100712617392923,30.192917459009404,35.30309376041193,0,17
0.14930829423739703,0.21484000913704002,0.8320640024212941,12.08658712998745,39.88134844528932,1,16
0.2862475843087897,0.4468213988362854,0.15184611083463628,35.64026329498345,66.95336360054714,2,17
0.2907451009006508,0.346621538950005,0.6534524992679511,49.28037327785972,100.64751582946406,3,19
0.2989471019433721,0.35684509235270284,0.7440501982404725,53.5591946665548,91.60093113944761,4,17
0.24971008008022566,0.36646156889002435,0.8397851455319565,32.151824433333616,109.77070815126032,5,16
0.30163068530183795,0.4037828214495924,0.7921789513373735,50.06738360672479,86.27787444028802,6,17
0.31329438916527097,0.40501961954830473,0.6520647638628683,39.97003791817178,126.53922888172768,7,17
0.2998828576669316,0.34446802613736105,0.6879313913203201,54.2811592833946,68.52192361010191,8,17
0.1815196666248977,0.24983432687771864,0.8632697565522724,36.47733224507962,46.57950211601249,9,16
