orientation_zone,n,MAE_log10h,RMSE_log10h,MedianAPE_%,MeanAPE_%
interior,81,0.21850697116522377,0.2954716510470363,33.828209973289816,61.73933848168389
near_001,35,0.17008690342293564,0.23000157667921828,23.10846321600057,37.38307430825599
near_011,19,0.17681219584785354,0.2427886451792633,24.63092339754325,57.276764108386786
near_111,34,0.14027564560654562,0.18695583999902246,24.85795906272719,33.197844188825506
