MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,fold,n_val
0.1741476540410588,0.22911831460023446,0.867044087134234,33.828209973289816,35.55975049586154,0,17
0.14432722230440465,0.21310478074108163,0.8347658314497046,22.79824697396487,33.784293257926734,1,16
0.19896764563007674,0.2853660612740461,0.6540515635130855,34.9613061987393,46.02123015703624,2,17
0.14981224985313824,0.24087141668145423,0.8326513502105723,22.728678813773172,58.84113789571013,3,19
0.2201835604907765,0.27579197076406275,0.847117217866421,39.015371492287684,54.99596546276391,4,17
0.20483919487760657,0.25278875943954576,0.9237637678783521,26.119125554586425,61.72030572829729,5,16
0.21512355804125546,0.30764961598999147,0.8793557550101023,23.3271953794976,71.62877577668228,6,17
0.1804923480236872,0.240276065932503,0.8775475961015052,40.10148261700045,35.67883409681173,7,17
0.17939494505300405,0.24329797920384535,0.8443212788721993,39.70033178278675,42.75984898539546,8,17
0.2179093401273898,0.2753922207318754,0.8338640174680428,45.57074774513444,62.95432186995774,9,16
