MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,fold,n_val
0.2142979495958317,0.25425699486797765,0.8362678881152086,48.30664708715528,54.404618025735765,0,17
0.20686959780043704,0.28843686042522726,0.6972982069521112,28.312988399325768,65.2884146514497,1,16
0.2478291352416518,0.3401423421124196,0.5084947899902434,29.545914785274725,64.34896227509088,2,17
0.3006485233385971,0.38861831676148817,0.5643896283138323,42.73378239111641,100.27379271657851,3,19
0.2625740542388308,0.34223820059495513,0.764575146694072,36.01749976901159,73.32984796196598,4,17
0.27577025826491824,0.3998144227195607,0.8092946750745922,36.95971281069862,118.33540649965927,5,16
0.23415040765828476,0.307923232699966,0.8791410629774832,41.306736057370216,58.06487576854573,6,17
0.3243903546773151,0.44417193384044484,0.5815452362938525,46.2342565463987,157.40470512979394,7,17
0.285993239152243,0.3314338990521058,0.7111009566516527,43.727157345466665,76.0215471069476,8,17
0.2330958865480266,0.3052327057343432,0.7959096356922976,40.02727974112419,60.86750469047601,9,16
