orientation_zone,n,MAE_log10h,RMSE_log10h,MedianAPE_%,MeanAPE_%
interior,84.0,0.1458722178359272,0.2032999496853639,25.014818364593594,42.28775772901725
near_001,35.0,0.13193679107809353,0.17364680854334785,21.940860657780718,29.826093090132968
near_011,17.0,0.11900387280601445,0.1504855701104395,19.17471154939774,26.455594591425992
near_111,33.0,0.14973370289915539,0.19769960862839467,23.629024712950113,41.2072958333324
