MAE_log10h,RMSE_log10h,R2_log10h,MedianAPE_%,MeanAPE_%,fold,n_val
0.19210067206374418,0.2219834783722689,0.8751957574413425,36.31872916719492,46.61936069362883,0,17
0.17273133267371232,0.222833445951569,0.8193349162102145,28.103820038275504,39.07529814569678,1,16
0.207021918328914,0.2891073343042362,0.6449210321142125,30.832704398319116,54.2140875134109,2,17
0.2621958069289553,0.3418013052816356,0.6630238899604634,43.01934272963411,90.45120359978097,3,19
0.2490899934914678,0.32088862365966936,0.7930316288174979,43.38251084326363,64.46348541899515,4,17
0.21503368507625908,0.3288935052184559,0.8709504479784889,20.24491780005165,93.15592425731248,5,16
0.2514897859176051,0.32775304311721715,0.8630735588285675,35.96066964214776,63.48066976138307,6,17
0.2507761505761376,0.3730520025575605,0.7048212825355014,25.026279134091546,127.36785300279995,7,17
0.24303853667305758,0.30798204369341603,0.7505387783512955,46.0408495283732,48.06717740475941,8,17
0.17579713799508967,0.2374769960806791,0.8764611764025109,34.78423152383005,46.1532037826785,9,16
