orientation_zone,n,MAE_log10h,RMSE_log10h,MedianAPE_%,MeanAPE_%
interior,81,0.21500628766910093,0.2835535976801401,33.117252783358836,57.40640197624111
near_001,35,0.1486631123644125,0.19389072035023183,28.23224434208893,33.12276894580393
near_011,19,0.34484512635436293,0.4306411141667298,51.99935541915583,133.06006076377184
near_111,34,0.2505214458456577,0.3476357469438028,31.35377976422043,91.38181865268011
